PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
09-202;AP Sierpc;Sierpc;P³ocka;59;Sierpc;sierpecki;mazowieckie
09-201;AP Sierpc;Sierpc;Reymonta W³adys³awa;32;Sierpc;sierpecki;mazowieckie
37-220;AP Sietesz;Sietesz;;265;Kañczuga;przeworski;podkarpackie
42-470;UP Siewierz;Siewierz;Wojska Polskiego Pl.;5;Siewierz;bêdziñski;œl¹skie
42-470;FUP Siewierz;Mierzêcice;Osiedle;34;Mierzêcice;bêdziñski;œl¹skie
42-470;FUP Siewierz;Wojkowice Koœcielne;D¹browska;2;Siewierz;bêdziñski;œl¹skie
09-413;AP Sikórz;Sikórz;;127;Brudzeñ Du¿y;p³ocki;mazowieckie
97-532;AP Silniczka;Silniczka;;73;¯ytno;radomszczañski;³ódzkie
89-620;AP Silno;Silno;G³ówna;67/3;Chojnice;chojnicki;pomorskie
89-240;AP Sipiory;Sipiory (Czterdziestka);;46;Kcynia;nakielski;kujawsko-pomorskie
22-424;UP Sitno;Sitno;;80 A;Sitno;zamojski;lubelskie
28-530;UP Skalbmierz;Skalbmierz;Podporucznika Brzozy II-Go;8;Skalbmierz;kazimierski;œwiêtokrzyskie
32-043;UP Ska³a;Ska³a;Koœcielna;3;Ska³a;krakowski;ma³opolskie
13-301;AP Skarlin;Skarlin;;63;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie
83-250;UP Skarszewy;Skarszewy;Wybickiego Józefa;26;Skarszewy;starogardzki;pomorskie
26-640;UP Skaryszew;Skaryszew;Targowa;14;Skaryszew;radomski;mazowieckie
12-230;AP Skarzyn;Skar¿yn;;19;Bia³a Piska;piski;warmiñsko-mazurskie
26-110;AP Skar¿ysko-Kamienna;Skar¿ysko-Kamienna;Konopnickiej Marii;11d;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-114;AP Skar¿ysko-Kamienna;Skar¿ysko-Kamienna;Powstañców Warszawy;8;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-110;AP Skar¿ysko-Kamienna;Skar¿ysko-Kamienna;Sezamkowa;22;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-110;AP Skar¿ysko-Kamienna;Skar¿ysko-Kamienna (Bór);Zwyciêzców;5;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-110;AP Skar¿ysko-Kamienna;Skar¿ysko-Kamienna (Pogorza³e);G³ówna;91;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-100;UP Skar¿ysko-Kamienna 1;Skar¿ysko-Kamienna (Kamienna);Czerwonego Krzy¿a;20;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-110;UP Skar¿ysko-Kamienna 2;Skar¿ysko-Kamienna;Niepodleg³oœci Al.;90;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-115;FUP Skar¿ysko-Kamienna 2;Skar¿ysko Koœcielne;I³¿ecka;66 A;Skar¿ysko Koœcielne;skar¿yski;œwiêtokrzyskie
26-111;FUP Skar¿ysko-Kamienna 2;Skar¿ysko-Kamienna;Legionów;89;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-112;UP Skar¿ysko-Kamienna 4;Skar¿ysko-Kamienna (Milica);Norwida Cypriana Kamila;12;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
26-113;UP Skar¿ysko-Kamienna 5;Skar¿ysko-Kamienna;Okrzei Stefana;13;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie
34-713;AP Skawa;Skawa;;55;Raba Wy¿na;nowotarski;ma³opolskie
34-221;AP Skawica;Skawica;;580;Zawoja;suski;ma³opolskie
32-050;UP Skawina;Skawina;¯wirki i Wigury;13 A;Skawina;krakowski;ma³opolskie
32-050;FUP Skawina;Radziszów;Koœcielna;1;Skawina;krakowski;ma³opolskie
32-050;AP Skawina;Skawina;29 Listopada;21;Skawina;krakowski;ma³opolskie
32-054;AP Skawina;Skawina;Bukowska;12;Skawina;krakowski;ma³opolskie
87-630;UP Skêpe;Skêpe;1 Maja Al.;68;Skêpe;lipnowski;kujawsko-pomorskie
08-300;AP Skibniew-Podawce;Skibniew-Podawce;Wiœniowa;4;Soko³ów Podlaski;soko³owski;mazowieckie
22-420;UP Skierbieszów;Skierbieszów;Rynek;1;Skierbieszów;zamojski;lubelskie
96-106;AP Skierniewice;Skierniewice;Bohaterów Westerplatte;91;Skierniewice;Skierniewice;³ódzkie
96-102;AP Skierniewice;Skierniewice;Makowska;2a;Skierniewice;Skierniewice;³ódzkie
96-102;AP Skierniewice;Skierniewice;Sucharskiego Henryka (Majora Henryka Sucharskiego);5A;Skierniewice;Skierniewice;³ódzkie
96-105;AP Skierniewice;Skierniewice;Zwierzyniecka;12;Skierniewice;Skierniewice;³ódzkie
96-100;UP Skierniewice 1;Skierniewice;Sienkiewicza Henryka;2;Skierniewice;Skierniewice;³ódzkie
96-111;FUP Skierniewice 1;Kowiesy;;74;Kowiesy;skierniewicki;³ódzkie
96-124;FUP Skierniewice 1;Maków;G³ówna;68;Maków;skierniewicki;³ódzkie
96-115;FUP Skierniewice 1;Nowy Kawêczyn;;32;Nowy Kawêczyn;skierniewicki;³ódzkie
96-101;FUP Skierniewice 1;Skierniewice;Batorego Stefana;45 A;Skierniewice;Skierniewice;³ódzkie
96-104;FUP Skierniewice 1;Skierniewice;Iwaszkiewicza Jaros³awa;15;Skierniewice;Skierniewice;³ódzkie
96-103;FUP Skierniewice 1;Skierniewice;Kopernika Miko³aja;5;Skierniewice;Skierniewice;³ódzkie
96-102;UP Skierniewice 2;Skierniewice;Mickiewicza Adama;2/4;Skierniewice;Skierniewice;³ódzkie
17-300;AP Skiwy Du¿e;Skiwy Du¿e;;22;Siemiatycze;siemiatycki;podlaskie
43-430;UP Skoczów;Skoczów;Mickiewicza Adama;14;Skoczów;cieszyñski;œl¹skie
43-430;FUP Skoczów;Dêbowiec;Katowicka;6;Dêbowiec;cieszyñski;œl¹skie
43-426;FUP Skoczów;skrytki/przegródki;;;Dêbowiec;cieszyñski;œl¹skie
43-431;AP Skoczów;Skoczów;S³oneczna;16;Skoczów;cieszyñski;œl¹skie
96-130;AP Skoczyk³ody;Skoczyk³ody;;51 A;G³uchów;skierniewicki;³ódzkie
62-085;UP Skoki;Skoki;Koœcielna;3;Skoki;w¹growiecki;wielkopolskie
38-242;UP Sko³yszyn;Sko³yszyn;;12;Sko³yszyn;jasielski;podkarpackie
32-437;AP Skomielna Czarna;Skomielna Czarna;;2;Tokarnia;myœlenicki;ma³opolskie
98-346;UP Skomlin;Skomlin;Powstanców Œl¹skich Pl.;1;Skomlin;wieluñski;³ódzkie
39-451;AP Skopanie;Skopanie;;232/3;Baranów Sandomierski;tarnobrzeski;podkarpackie
63-830;AP Skoraszewice;Skoraszewice;;43;Pêpowo;gostyñski;wielkopolskie
49-345;AP Skorogoszcz;Skorogoszcz;Opolska;25;Lewin Brzeski;brzeski;opolskie
48-320;UP Skoroszyce;Skoroszyce;Braterstwa Broni;6;Skoroszyce;nyski;opolskie
83-400;AP Skorzewo;Skorzewo;;4;Koœcierzyna;koœcierski;pomorskie
27-650;AP Skotniki;Skotniki;;122;Samborzec;sandomierski;œwiêtokrzyskie
83-220;UP Skórcz;Skórcz;G³ówna;33;Skórcz;starogardzki;pomorskie
64-917;AP Skórka;Skórka;Z³otowska;27;Krajenka;z³otowski;wielkopolskie
26-330;AP Skórkowice;Skórkowice;;33;¯arnów;opoczyñski;³ódzkie
76-230;AP Skórowo;Skórowo;;25a;Potêgowo;s³upski;pomorskie
08-114;UP Skórzec;Skórzec;Weso³a;1;Skórzec;siedlecki;mazowieckie
60-185;AP Skórzewo;Skórzewo;Dzia³kowa;21;Dopiewo;poznañski;wielkopolskie
28-302;AP Skroniów;Skroniów;;93;Jêdrzejów;jêdrzejowski;œwiêtokrzyskie
87-510;UP Skrwilno;Skrwilno;Rypiñska;7;Skrwilno;rypiñski;kujawsko-pomorskie
87-506;FUP Skrwilno;Urszulewo;; ;Skrwilno;rypiñski;kujawsko-pomorskie
09-541;AP Skrzeszewy;Skrzeszewy;;30;Pacyna;gostyniñski;mazowieckie
64-630;AP Skrzetusz;Skrzetusz;;83;Ryczywó³;obornicki;wielkopolskie
34-625;AP Skrzydlna;Skrzydlna;;41;Dobra;limanowski;ma³opolskie
26-432;AP Skrzynno;Skrzynno;Radomska;18;Wieniawa;przysuski;mazowieckie
55-216;AP Skrzypnik;Skrzypnik;;39;Domaniów;o³awski;dolnoœl¹skie
33-156;UP Skrzyszów;Skrzyszów;;335 A;Skrzyszów;tarnowski;ma³opolskie
44-348;AP Skrzyszów;Skrzyszów;Wyzwolenia;21;Godów;wodzis³awski;œl¹skie
62-560;UP Skulsk;Skulsk;Koniñska;2;Skulsk;koniñski;wielkopolskie
17-221;AP Skupowo;Skupowo;;15;Narewka;hajnowski;podlaskie
66-440;UP Skwierzyna;Skwierzyna;2 Lutego;3;Skwierzyna;miêdzyrzecki;lubuskie
66-440;AP Skwierzyna;Skwierzyna;Grunwaldzka;1;Skwierzyna;miêdzyrzecki;lubuskie
67-410;UP S³awa;S³awa;Waryñskiego Ludwika;29/31;S³awa;wschowski;lubuskie
67-410;FUP S³awa;Kolsko;Piastowska;44;Kolsko;nowosolski;lubuskie
21-515;UP S³awatycze;S³awatycze;Rynek;20;S³awatycze;bialski;lubelskie
21-526;FUP S³awatycze;Jab³eczna;;53 A;S³awatycze;bialski;lubelskie
09-321;AP S³awêcin;S³awêcin;;54;Bie¿uñ;¿uromiñski;mazowieckie
41-260;UP S³awków;S³awków;Sikorskiego W³adys³awa (Genera³a W³adys³awa Sikorskiego);8;S³awków;bêdziñski;œl¹skie
76-101;AP S³awno;S³awno;Jednoœci Narodowej;29;S³awno;s³awieñski;zachodniopomorskie
76-102;AP S³awno ;S³awno;Witosa Wincentego;13 C;S³awno;s³awieñski;zachodniopomorskie
76-100;UP S³awno 1;S³awno;Polanowska;1;S³awno;s³awieñski;zachodniopomorskie
76-107;FUP S³awno 1;Jaros³awiec;Nadmorska;32;Postomino;s³awieñski;zachodniopomorskie
76-142;FUP S³awno 1;Malechowo;;51;Malechowo;s³awieñski;zachodniopomorskie
76-113;FUP S³awno 1;Postomino;;1;Postomino;s³awieñski;zachodniopomorskie
26-332;UP S³awno k. Opoczna;S³awno;Pi³sudskiego Józefa (Marsza³ka Józefa Pi³sudskiego);31;S³awno;opoczyñski;³ódzkie
62-542;AP S³awoszewek;S³awoszewek;;87;Kleczew;koniñski;wielkopolskie
62-586;AP S³awsk (Stary S³awsk);S³awsk (Stary S³awsk);;83;Rzgów;koniñski;wielkopolskie
14-406;AP S³obity;S³obity;;39/1;Wilczêta;braniewski;warmiñsko-mazurskie
62-058;AP S³ocin;S³ocin;;30/C;Grodzisk Wielkopolski;grodziski;wielkopolskie
32-090;UP S³omniki;S³omniki;Nieca³a;5;S³omniki;krakowski;ma³opolskie
32-090;FUP S³omniki;S³omniki;Koœciuszki Tadeusza;58;S³omniki;krakowski;ma³opolskie
14-300;AP S³onecznik;S³onecznik;;32;Mor¹g;ostródzki;warmiñsko-mazurskie
76-251;AP S³onowice;S³onowice;;27;Kobylnica;s³upski;pomorskie
66-524;AP S³onów;S³onów;; ;Dobiegniew;strzelecko-drezdenecki;lubuskie
66-436;UP S³oñsk;S³oñsk;Sikorskiego W³adys³awa (Genera³a W³adys³awa Sikorskiego);23;S³oñsk;sulêciñski;lubuskie
66-436;AP S³oñsk;S³oñsk;3 Lutego;23;S³oñsk;sulêciñski;lubuskie
39-220;AP S³otowa;S³otowa;;221;Pilzno;dêbicki;podkarpackie
66-522;AP S³owin;S³owin;;21;Dobiegniew;strzelecko-drezdenecki;lubuskie
09-533;UP S³ubice;S³ubice;P³ocka;41;S³ubice;p³ocki;mazowieckie
69-100;UP S³ubice 1;S³ubice;PrzyjaŸni Pl.;5;S³ubice;s³ubicki;lubuskie
69-113;FUP S³ubice 1;Górzyca;Kostrzyñska;2;Górzyca;s³ubicki;lubuskie
69-101;FUP S³ubice 1;S³ubice;Pi³sudskiego Józefa (Marsza³ka Józefa Pi³sudskiego);13;S³ubice;s³ubicki;lubuskie
19-213;AP S³ucz;S³ucz;;82;Radzi³ów;grajewski;podlaskie
62-403;AP S³upca;S³upca;Szkolny Pl.;16A;S³upca;s³upecki;wielkopolskie
62-400;UP S³upca 1;S³upca;Warszawska;16;S³upca;s³upecki;wielkopolskie
62-401;FUP S³upca 1;S³upca;Niepodleg³oœci Os.;19;S³upca;s³upecki;wielkopolskie
62-421;FUP S³upca 1;Strza³kowo;Wyszyñskiego Al. (Aleja Prymasa Wyszyñskiego);13;Strza³kowo;s³upecki;wielkopolskie
62-420;FUP S³upca 1;skrytki/przegródki;;;Strza³kowo;s³upecki;wielkopolskie
77-311;AP S³upia;S³upia;; ;Debrzno;cz³uchowski;pomorskie
28-350;UP S³upia Jêdrzejowska;S³upia;;257;S³upia;jêdrzejowski;œwiêtokrzyskie
26-234;UP S³upia k. Koñskich;S³upia;;33;S³upia (Konecka);konecki;œwiêtokrzyskie
63-904;AP S³upia Kapitulna;S³upia Kapitulna;;134;Rawicz;rawicki;wielkopolskie
63-648;AP S³upia pod Kêpnem;S³upia pod Kêpnem;Szeroka;29;Baranów;kêpiñski;wielkopolskie
63-000;AP S³upia Wielka;S³upia Wielka;;1;Œroda Wielkopolska;œredzki;wielkopolskie
26-630;AP S³upica;S³upica;;16;Jedlnia-Letnisko;radomski;mazowieckie
33-230;AP S³upiec k. D¹browy Tarnowskiej;S³upiec;;329;Szczucin;d¹browski;ma³opolskie
09-472;UP S³upno;S³upno;Miszewska;8 A;S³upno;p³ocki;mazowieckie
76-206;AP S³upsk;S³upsk;Banacha Stefana;6 A;S³upsk;S³upsk;pomorskie
76-208;AP S³upsk;S³upsk;Dmowskiego Romana;10;S³upsk;S³upsk;pomorskie
76-200;UP S³upsk 1;S³upsk;Ko³³¹taja Hugo;31;S³upsk;S³upsk;pomorskie
76-218;FUP S³upsk 1;S³upsk;Kopernika Miko³aja;37;S³upsk;S³upsk;pomorskie
76-201;FUP S³upsk 1;S³upsk;Starzyñskiego Stefana;3;S³upsk;S³upsk;pomorskie
76-210;UP S³upsk 2;S³upsk;Ko³³¹taja Hugo;31;S³upsk;S³upsk;pomorskie
76-206;UP S³upsk 8;S³upsk;Banacha Stefana;6;S³upsk;S³upsk;pomorskie
76-206;FUP S³upsk 8;Redzikowo;;24;S³upsk;s³upski;pomorskie
76-207;FUP S³upsk 8;S³upsk;Królowej Jadwigi;1;S³upsk;S³upsk;pomorskie
76-202;FUP S³upsk 8;S³upsk;Mochnackiego Maurycego;12;S³upsk;S³upsk;pomorskie
76-206;FUP S³upsk 8;S³upsk;Pi³sudskiego Józefa;5c;S³upsk;S³upsk;pomorskie
76-206;FUP S³upsk 8;S³upsk;Wolnoœci;37/38;S³upsk;S³upsk;pomorskie
76-208;UP S³upsk 10;S³upsk;Fr¹ckowskiego Kazimierza (Doktora medycyny Kazimierza Fr¹ckowskiego);13;S³upsk;S³upsk;pomorskie
76-208;FUP S³upsk 10;Kobylnica;Szczeciñska;6;Kobylnica;s³upski;pomorskie
76-208;FUP S³upsk 10;S³upsk;Andersa W³adys³awa (Genera³a W³adys³awa Andersa);5 B;S³upsk;S³upsk;pomorskie
76-208;FUP S³upsk 10;S³upsk;Szczeciñska;67;S³upsk;S³upsk;pomorskie
76-208;FUP S³upsk 10;S³upsk;Szczeciñska;59;S³upsk;S³upsk;pomorskie
76-209;UP S³upsk 11;S³upsk;Fa³ata Juliana;12/U5;S³upsk;S³upsk;pomorskie
76-215;UP S³upsk 12;S³upsk;£ukasiewicza Ignacego;3;S³upsk;S³upsk;pomorskie
76-215;FUP S³upsk 12;S³upsk;Kaszubska;32;S³upsk;S³upsk;pomorskie
76-215;FUP S³upsk 12;S³upsk;Lelewela Joachima;8;S³upsk;S³upsk;pomorskie
76-205;FUP S³upsk 12;S³upsk;Mieszka I;8;S³upsk;S³upsk;pomorskie
76-216;FUP S³upsk 12;S³upsk;Pobo¿nego Henryka;19;S³upsk;S³upsk;pomorskie
76-215;FUP S³upsk 12;S³upsk;Rac³awicka;2;S³upsk;S³upsk;pomorskie
76-203;FUP S³upsk 12;S³upsk;Szafranka Franciszka;6/U2;S³upsk;S³upsk;pomorskie
76-215;FUP S³upsk 12;S³upsk;Zwyciêstwa Pl.;3;S³upsk;S³upsk;pomorskie
97-213;AP Smardzewice;Smardzewice;G³ówna;21;Tomaszów Mazowiecki;tomaszowski;³ódzkie
78-302;AP Smardzko;Smardzko;;16c;Œwidwin;œwidwiñski;zachodniopomorskie
32-077;UP Smardzowice;Smardzowice;;7;Ska³a;krakowski;ma³opolskie
83-230;UP Smêtowo Graniczne;Smêtowo Graniczne;Dworcowa;14;Smêtowo Graniczne;starogardzki;pomorskie
28-129;AP Smogorzów;Smogorzów;;83 A;Stopnica;buski;œwiêtokrzyskie
69-220;AP Smogóry;Smogóry;;3;Oœno Lubuskie;s³ubicki;lubuskie
16-515;AP Smolany;Smolany;;12;Puñsk;sejneñski;podlaskie
55-080;AP Smolec;Smolec;Agrestowa;1;K¹ty Wroc³awskie;wroc³awski;dolnoœl¹skie
63-740;AP Smolice;Smolice;;75;Kobylin;krotoszyñski;wielkopolskie
16-407;AP Smolniki;Smolniki;;37;Rutka-Tartak;suwalski;podlaskie
76-214;UP Smo³dzino;Smo³dzino;Mostnika Micha³a;4;Smo³dzino;s³upski;pomorskie
87-815;AP Smólnik;Smólnik;;35;W³oc³awek;w³oc³awski;kujawsko-pomorskie
26-212;UP Smyków;Smyków;;91;Smyków;konecki;œwiêtokrzyskie
67-210;AP Sobczyce;Sobczyce;;12;Kotla;g³ogowski;dolnoœl¹skie
63-910;AP Sobia³kowo;Sobia³kowo;;150;Miejska Górka;rawicki;wielkopolskie
08-443;UP Sobienie-Jeziory;Sobienie-Jeziory;Du¿y Rynek;36;Sobienie-Jeziory;otwocki;mazowieckie
28-305;UP Sobków;Sobków;Wolnoœci Pl.;10;Sobków;jêdrzejowski;œwiêtokrzyskie
08-460;UP Sobolew;Sobolew;Koœciuszki Tadeusza;45;Sobolew;garwoliñski;mazowieckie
15-509;AP Sobolewo;Sobolewo;Henrykowska;9;Supraœl;bia³ostocki;podlaskie
99-423;AP Sobota;Sobota;;12;Bielawy;³owicki;³ódzkie
59-600;AP Sobota k. Lwówka Œl¹skiego;Sobota;;54;Lwówek Œl¹ski;lwówecki;dolnoœl¹skie
83-033;AP Sobowidz;Sobowidz;Dworcowa;3;Tr¹bki Wielkie;gdañski;pomorskie
55-051;AP Sobótka;Sobótka;Zmorskiego Romana;8;Sobótka;wroc³awski;dolnoœl¹skie
99-150;AP Sobótka k. £êczycy;Sobótka-Kolonia;;51;Grabów;³êczycki;³ódzkie
63-410;AP Sobótka k. Ostrowa Wielkopolskiego;Sobótka;;86;Ostrów Wielkopolski;ostrowski;wielkopolskie
55-050;UP Sobótka k. Wroc³awia 1;Sobótka;Œwidnicka;8;Sobótka;wroc³awski;dolnoœl¹skie
96-500;AP Sochaczew;Sochaczew;In¿ynierska;4;Sochaczew;sochaczewski;mazowieckie
96-500;UP Sochaczew 1;Sochaczew;1 Maja;22;Sochaczew;sochaczewski;mazowieckie
96-512;FUP Sochaczew 1;M³odzieszyn;Wyszogrodzka;24;M³odzieszyn;sochaczewski;mazowieckie
96-513;FUP Sochaczew 1;Nowa Sucha;;50 A;Nowa Sucha;sochaczewski;mazowieckie
96-514;FUP Sochaczew 1;Rybno;D³uga;4;Rybno;sochaczewski;mazowieckie
96-501;FUP Sochaczew 1;Sochaczew;Mickiewicza Adama;5;Sochaczew;sochaczewski;mazowieckie
96-503;FUP Sochaczew 1;Sochaczew;Pocztowa;5;Sochaczew;sochaczewski;mazowieckie
96-500;FUP Sochaczew 1;Sochaczew;Targowa;18 E;Sochaczew;sochaczewski;mazowieckie
96-505;FUP Sochaczew 1;Sochaczew;¯eromskiego Stefana;39 A;Sochaczew;sochaczewski;mazowieckie
96-516;FUP Sochaczew 1;Szymanów;Szkolna;19a;Teresin;sochaczewski;mazowieckie
09-110;UP Sochocin;Sochocin;P³oñska;30;Sochocin;p³oñski;mazowieckie
59-400;AP Sokola;Sokola;;2;Paszowice;jaworski;dolnoœl¹skie
97-525;AP Sokola Góra;Sokola Góra;;26;Wielgom³yny;radomszczañski;³ódzkie
28-506;AP Sokolina;Sokolina;;48;Czarnocin;kazimierski;œwiêtokrzyskie
95-039;AP Sokolniki;Sokolniki;Kasprowicza Jana;30;Ozorków;zgierski;³ódzkie
39-432;AP Sokolniki;Sokolniki;;8;Gorzyce;tarnobrzeski;podkarpackie
42-320;AP Sokolniki k. Myszkowa;Sokolniki;;78a;Niegowa;myszkowski;œl¹skie
98-420;UP Sokolniki k. Wielunia;Sokolniki;Pi³sudskiego Józefa (Marsza³ka Józefa Pi³sudskiego);3;Sokolniki;wieruszowski;³ódzkie
59-540;AP Soko³owiec;Soko³owiec;;109;Œwierzawa;z³otoryjski;dolnoœl¹skie
62-315;AP Soko³owo;Soko³owo;Bitwy Pod Soko³owem;3;Wrzeœnia;wrzesiñski;wielkopolskie
64-840;AP Soko³owo Budzyñskie;Soko³owo Budzyñskie;;8;Budzyñ;chodzieski;wielkopolskie
58-350;AP Soko³owsko;Soko³owsko;G³ówna;19;Mieroszów;wa³brzyski;dolnoœl¹skie
36-050;UP Soko³ów Ma³opolski;Soko³ów Ma³opolski;Lubelska;42;Soko³ów Ma³opolski;rzeszowski;podkarpackie
08-300;AP Soko³ów Podlaski;Soko³ów Podlaski;Fabryczna;1;Soko³ów Podlaski;soko³owski;mazowieckie
08-300;UP Soko³ów Podlaski 1;Soko³ów Podlaski;Wolnoœci;44;Soko³ów Podlaski;soko³owski;mazowieckie
08-311;FUP Soko³ów Podlaski 1;Bielany-¯y³aki;S³oneczna;5;Bielany;soko³owski;mazowieckie
08-300;FUP Soko³ów Podlaski 1;Soko³ów Podlaski;Spó³dzielcza;8 A;Soko³ów Podlaski;soko³owski;mazowieckie
08-301;FUP Soko³ów Podlaski 1;Soko³ów Podlaski;Wilczyñskiego Franciszka;31;Soko³ów Podlaski;soko³owski;mazowieckie
18-218;UP Soko³y;Soko³y;Rynek Mickiewicza;12;Soko³y;wysokomazowiecki;podlaskie
18-204;FUP Soko³y;Kobylin-Borzymy;G³ówna;14;Kobylin-Borzymy;wysokomazowiecki;podlaskie
18-212;FUP Soko³y;Nowe Piekuty;G³ówna;23;Nowe Piekuty;wysokomazowiecki;podlaskie
26-670;AP Soko³y;Soko³y;;50;Pionki;radomski;mazowieckie
16-100;UP Sokó³ka;Sokó³ka;Grodzieñska;25;Sokó³ka;sokólski;podlaskie
16-123;FUP Sokó³ka;KuŸnica;Sokólska;18;KuŸnica;sokólski;podlaskie
16-102;FUP Sokó³ka;Sokó³ka;Bia³ostocka;33/1;Sokó³ka;sokólski;podlaskie
16-100;FUP Sokó³ka;Sokó³ka;Zielone Os.;3;Sokó³ka;sokólski;podlaskie
19-420;AP Sokó³ki;Sokó³ki;;42;Kowale Oleckie;olecki;warmiñsko-mazurskie
95-035;AP Solca Wielka;Solca Wielka;;43a;Ozorków;zgierski;³ódzkie
05-533;AP Solec;Solec;;38;Góra Kalwaria;piaseczyñski;mazowieckie
86-050;UP Solec Kujawski 1;Solec Kujawski;23 Stycznia;14a;Solec Kujawski;bydgoski;kujawsko-pomorskie
86-050;FUP Solec Kujawski 1;Solec Kujawski;Graniczna;5;Solec Kujawski;bydgoski;kujawsko-pomorskie
86-050;FUP Solec Kujawski 1;Solec Kujawski;Unii Europejskiej;4;Solec Kujawski;bydgoski;kujawsko-pomorskie
28-131;UP Solec-Zdrój;Solec-Zdrój;Koœcielna;2;Solec-Zdrój;buski;œwiêtokrzyskie
38-612;AP Solina;Solina;;69;Solina;leski;podkarpackie
07-203;UP Somianka;Somianka;;21;Somianka;wyszkowski;mazowieckie
07-204;FUP Somianka;Popowo Koœcielne;; ;Somianka;wyszkowski;mazowieckie
83-314;UP Somonino;Somonino;Wolnoœci;16;Somonino;kartuski;pomorskie
62-610;UP Sompolno;Sompolno;Kolejowa;7;Sompolno;koniñski;wielkopolskie
06-430;UP Soñsk;Soñsk;Ciechanowska;30;Soñsk;ciechanowski;mazowieckie
81-881;AP Sopot;Sopot;Kolberga Oskara;9;Sopot;Sopot;pomorskie
81-701;UP Sopot 1;Sopot;Koœciuszki Tadeusza;2;Sopot;Sopot;pomorskie
81-701;FUP Sopot 1;Sopot;Niepodleg³oœci Al.;724;Sopot;Sopot;pomorskie
81-705;UP Sopot 5;Sopot;Grunwaldzka;78/80;Sopot;Sopot;pomorskie
81-806;UP Sopot 6;Sopot;Obodrzyców;1 A;Sopot;Sopot;pomorskie
34-340;AP Sopotnia Ma³a;Sopotnia Ma³a;;389;Jeleœnia;¿ywiecki;œl¹skie
11-731;UP Sorkwity;Sorkwity;Olsztyñska;17;Sorkwity;mr¹gowski;warmiñsko-mazurskie
23-251;AP Sosnowa Wola;Sosnowa Wola;;41;Dzierzkowice;kraœnicki;lubelskie
21-230;UP Sosnowica;Sosnowica;Wojska Polskiego;29;Sosnowica;parczewski;lubelskie
34-112;AP Sosnowice;Sosnowice;;200 A;BrzeŸnica;wadowicki;ma³opolskie
41-202;AP Sosnowiec;Sosnowiec;11 Listopada;11;Sosnowiec;Sosnowiec;œl¹skie
41-219;AP Sosnowiec;Sosnowiec;Gwiezdna;8c;Sosnowiec;Sosnowiec;œl¹skie
41-222;AP Sosnowiec;Sosnowiec;Klimontowska;7;Sosnowiec;Sosnowiec;œl¹skie
41-215;AP Sosnowiec;Sosnowiec;Krakowska;15;Sosnowiec;Sosnowiec;œl¹skie
41-209;AP Sosnowiec;Sosnowiec;Leszno;4;Sosnowiec;Sosnowiec;œl¹skie
41-219;AP Sosnowiec;Sosnowiec;Mieroszewskich (Braci Mieroszewskich);120;Sosnowiec;Sosnowiec;œl¹skie
41-201;AP Sosnowiec;Sosnowiec;Moniuszki Stanis³awa;19;Sosnowiec;Sosnowiec;œl¹skie
41-212;AP Sosnowiec;Sosnowiec;Naftowa;33;Sosnowiec;Sosnowiec;œl¹skie
41-223;AP Sosnowiec;Sosnowiec;Prusa Boles³awa;62;Sosnowiec;Sosnowiec;œl¹skie
41-208;AP Sosnowiec;Sosnowiec;Wojska Polskiego;23;Sosnowiec;Sosnowiec;œl¹skie
41-200;UP Sosnowiec 1;Sosnowiec;3 Maja;24;Sosnowiec;Sosnowiec;œl¹skie
41-200;FUP Sosnowiec 1;Sosnowiec;1 Maja;31;Sosnowiec;Sosnowiec;œl¹skie
41-200;FUP Sosnowiec 1;Sosnowiec;Moœcickiego Ignacego;14;Sosnowiec;Sosnowiec;œl¹skie
41-200;FUP Sosnowiec 1;Sosnowiec;Sienkiewicza Henryka;3;Sosnowiec;Sosnowiec;œl¹skie
41-205;UP Sosnowiec 5;Sosnowiec;Bêdziñska;2;Sosnowiec;Sosnowiec;œl¹skie
41-205;FUP Sosnowiec 5;Sosnowiec;Z³ota;1;Sosnowiec;Sosnowiec;œl¹skie
41-206;UP Sosnowiec 6;Sosnowiec;Grota-Roweckiego Stefana (Genera³a Stefana Grota-Roweckiego);20;Sosnowiec;Sosnowiec;œl¹skie
41-207;UP Sosnowiec 7;Sosnowiec;Witkiewicza Stanis³awa;14;Sosnowiec;Sosnowiec;œl¹skie
41-208;UP Sosnowiec 8;Sosnowiec;Wojska Polskiego;92;Sosnowiec;Sosnowiec;œl¹skie
